20221205	12:58:58	fd5cb442-849f-4ae6-900f-656a2c7da629	/	GET
20221205	12:58:59	fde977ad-e8dd-4386-ac96-6a28b6dbec72	/debbeMainEdit.jpg	GET
20221205	13:02:55	da289718-cf70-4d5a-8261-aad96b4360eb	/	GET
20221205	13:06:41	74e52386-55d2-4473-8d88-464167e193df	/	GET
20221205	13:06:42	b094e6a6-fd09-4ee5-9eab-e67bd11da9c1	/debbeMainEdit.jpg	GET
20221205	13:07:47	ac4e1b39-954f-4737-ab50-5e228d28d8a2	/privacy.html	GET
20221205	18:13:03	64daa54e-62b2-4f8c-9d67-1004092bdc81	GET	undefined	/
20221205	18:13:04	828520a4-3bc4-47b8-a41f-b319bfd4393f	GET	undefined	/debbeMainEdit.jpg
20221205	18:17:26	2bbd83df-d36d-4ae7-92ee-f2d250d876e5	GET	undefined	/
20221205	18:17:27	17d877a8-bba8-4d0d-8c70-f66172f56a92	GET	undefined	/debbeMainEdit.jpg
20221205	18:17:43	30a00de4-b405-4848-b669-0ba8bf1f0d1e	GET	undefined	/privacy.hmtl
20221205	18:18:02	3b904b31-1693-49af-bbc2-14df0baf940e	GET	undefined	/
20221205	18:18:03	92c3f1db-3900-430a-a600-b48f8e1f5e98	GET	undefined	/debbeMainEdit.jpg
20221205	18:18:18	df629c4d-0f7c-4cb1-b9ba-1a09c947de98	GET	undefined	/privacy
20221205	18:18:30	d2561fe7-a5d0-4877-b194-a7b4bb6ff6ca	GET	undefined	/privacy.html
20221205	18:19:44	67815c78-a7fe-42df-af1d-def3ac29be28	GET	undefined	/privacy.html
20221205	18:19:57	2ee87747-da6f-4313-b218-d9eea65a3488	GET	undefined	/privacy
20221205	18:29:16	dab7b5ef-b7bf-4bc2-a8e4-7c15d48233b6	GET	undefined	/privacy
20221205	18:31:22	725130de-dec6-4746-b397-df46aa062673	GET	undefined	/
20221205	18:31:24	55f21070-0622-4133-806f-377ff032738f	GET	undefined	/debbeMainEdit.jpg
20221205	18:35:29	8bb95371-d233-40b4-b75f-47e575ffb659	OPTIONS	https://www.bing.com	/
20221205	18:35:30	814b8772-1db4-4ef8-b7ad-7bd6b0e93e8e	GET	https://www.bing.com	/
20221205	18:47:33	f1237f04-d59c-4c5b-bb4f-895a90c7fe6a	GET	undefined	/
20221205	18:48:19	f8b04243-39a9-46b0-bf25-f3d9fed92e76	OPTIONS	https://www.bing.com	/
20221205	18:48:20	2b5069e1-e54c-4584-a4f8-64bdd73405a2	GET	https://www.bing.com	/
20221205	18:48:51	cb0fe470-cf4d-4b50-9d3a-7876d5c9b295	GET	undefined	/
20221205	18:51:09	56bcdc43-ba8a-4748-a731-85218a8bbb53	GET	undefined	/
20221205	18:54:01	94a927b2-ff0b-4775-b44a-e406ec249ca6	GET	undefined	/
20221205	18:55:25	a83e9daf-cd9c-46bb-8726-f9461320a8eb	GET	undefined	/
20221205	18:55:27	88803449-452b-43d1-8cca-af9f829d4d26	GET	undefined	/debbeMainEdit.jpg
20221205	19:03:21	53233468-af38-440f-bdaf-80d25648904f	GET	undefined	/
20221205	19:03:22	4d412921-e1b9-485e-a783-13734bc20248	GET	undefined	/debbeMainEdit.jpg
20221205	19:05:58	6a91f1a1-e67e-4dfc-813c-2bf65865b3f3	GET	undefined	/
20221205	19:07:04	85915918-bf60-4eaf-8991-5116a2ebddef	GET	undefined	/
20221205	19:07:13	0bcee1cc-4c23-4925-bdbf-fdf6a695af96	GET	undefined	/debbeMainEdit.jpg
20221205	19:31:31	f003c317-4024-44a7-836c-ddb9d5614ad2	GET	undefined	/subdir
20221205	19:33:15	6add866c-8ee2-4ec6-8cdf-2870888fed94	GET	undefined	/subdir
20221205	19:33:40	ddb7bdec-e1cd-4782-a219-07a99c25aada	GET	undefined	/subdir/index
20221205	19:33:41	8814c47d-43b3-4ee1-9f1b-ebf333aacdd2	GET	undefined	/subdir/debbeMainEdit.jpg
20221205	19:33:55	3000fc59-1233-420a-a0fc-ab545010c529	GET	undefined	/subdir/index.html
20221205	19:33:57	c3e4e6a4-6981-47b4-a0bb-3e4fa12d2d72	GET	undefined	/subdir/debbeMainEdit.jpg
20221205	19:39:28	ea7d923a-2d9f-4e56-9d57-6613028bb823	GET	undefined	/subdir/
20221205	19:50:49	6af4498f-17da-4f1a-a79a-56f371149780	GET	undefined	/subdir/
20221205	19:51:05	5cd9e869-d0c6-49f5-95cb-d1edd53e75c4	GET	undefined	/
20221205	19:51:06	46f9a430-4202-4df5-adc9-11faafd858f3	GET	undefined	/debbeMainEdit.jpg
20221205	20:58:12	b259c486-c91b-4059-ae8c-97ace9ae6377	GET	undefined	/
20221205	20:58:20	7e219ff0-a53c-46c3-ad36-a9fc10cd46f0	GET	undefined	/debbeMainEdit.jpg
20221205	20:58:56	e9ed3f61-8dc3-48e2-a97b-975d11ced145	GET	undefined	/employee
20221205	20:59:49	7e4298d7-72a6-4e16-9107-3b92e6a106a6	GET	undefined	/employee
20221205	21:02:44	ffb5cfe8-cf88-4e41-812c-d57b7bc5c596	POST	undefined	/employee
20221205	21:04:56	d69f4cc9-2b1b-461f-895e-2a190d57d07a	POST	undefined	/employee?wow=den
20221205	21:06:36	8f9d4000-cc76-48dd-a885-0fd5bddc1ec1	POST	undefined	/employee
20221206	15:09:56	9507be05-a717-4fe5-9421-9d5501e7f743	GET	undefined	/
20221206	15:09:58	91d44893-c33f-4b41-991e-605f0dc5aab4	GET	undefined	/debbeMainEdit.jpg
20221206	15:10:01	98ef8ece-e4b4-4cf6-ae2c-e1670acdce5e	GET	undefined	/favicon.ico
20221206	16:49:22	56948133-c59a-4a97-b16b-2815019b3256	GET	undefined	/
20221206	16:49:28	0894a0cc-ddb8-4b6f-bbaf-f60c8d538c6a	GET	undefined	/debbeMainEdit.jpg
20221206	16:51:30	3be7ff9d-9376-4446-a767-5bee2f2fb73f	GET	undefined	/employee
20221206	16:53:03	d9dd19f9-0697-41cb-be5a-8fdcbc9a01d7	POST	undefined	/employee
20221206	16:55:21	efe109e3-4aa4-4c14-bc99-6ba349367d01	POST	undefined	/employee?firstname=debbie&lastname=borbor
20221206	17:01:11	f170a31a-3075-4588-b9e2-d8932adfdd60	POST	undefined	/employee
20221206	17:03:11	9249d744-2dfb-4673-9748-2054c0b355a8	POST	undefined	/employee
20221206	17:30:58	3fb8a011-3969-415f-b2a7-bc5cfe01e473	POST	undefined	/employee
20221206	17:33:11	4f04073a-9e2b-41b0-b326-117698cd4eeb	POST	undefined	/employee
20221206	17:33:39	35d49e06-c3e0-4b3d-ab0b-555079ee65f3	GET	undefined	/employee
20221206	17:34:12	e909819b-6617-4fc3-aa74-9c070fd3a20a	GET	undefined	/employee
